t_s,phase,pos_rad,vel_rad_s,torque_nm,temp_c,kp,cmd_pos,cmd_vel
0.002,disabled,-0.000049,-0.023183,-0.012711,40.000,0.000,-0.000049,0.000000
0.503,disabled,-0.000049,0.054777,-0.012711,40.000,0.000,-0.000049,0.000000
1.028,disabled,-0.000099,0.016484,-0.012711,40.000,0.000,-0.000049,0.000000
1.552,disabled,-0.000148,-0.073348,-0.012711,40.000,0.000,-0.000049,0.000000
2.078,disabled,-0.000297,-0.011189,-0.012711,40.000,0.000,-0.000049,0.000000
2.602,disabled,-0.000099,0.073497,-0.012711,40.000,0.000,-0.000049,0.000000
3.102,disabled,-0.000198,0.034830,-0.012711,40.000,0.000,-0.000049,0.000000
3.603,disabled,-0.000198,0.048655,-0.012711,40.000,0.000,-0.000049,0.000000
4.127,disabled,-0.000198,-0.003693,-0.012711,40.000,0.000,-0.000049,0.000000
4.628,disabled,-0.000198,-0.043749,-0.012711,40.000,0.000,-0.000049,0.000000
5.153,disabled,-0.000099,0.082948,-0.012711,40.000,0.000,-0.000049,0.000000
5.677,disabled,-0.000247,0.005497,-0.012711,40.000,0.000,-0.000049,0.000000
6.178,disabled,-0.000198,-0.023497,-0.012711,40.000,0.000,-0.000049,0.000000
6.702,disabled,-0.000247,-0.091052,-0.012711,40.000,0.000,-0.000049,0.000000
7.228,disabled,-0.000198,0.002571,-0.012711,40.000,0.000,-0.000049,0.000000
7.752,disabled,-0.000198,0.119328,-0.012711,40.000,0.000,-0.000049,0.000000
8.252,disabled,-0.000247,-0.023979,-0.012711,40.000,0.000,-0.000049,0.000000
8.753,disabled,-0.000148,0.116245,-0.012711,40.000,0.000,-0.000049,0.000000
9.277,disabled,-0.000346,-0.108532,-0.012711,40.000,0.000,-0.000049,0.000000
9.778,disabled,-0.000148,0.076724,-0.012711,40.000,0.000,-0.000049,0.000000
10.302,disabled,-0.000346,-0.012394,-0.012711,40.000,0.000,-0.000049,0.000000
10.803,disabled,-0.000247,0.012265,-0.012711,40.000,0.000,-0.000049,0.000000
11.328,disabled,-0.000247,0.185677,-0.012711,40.000,0.000,-0.000049,0.000000
11.853,disabled,-0.000148,-0.063283,-0.012711,40.000,0.000,-0.000049,0.000000
12.378,disabled,-0.000148,-0.116373,-0.012711,40.000,0.000,-0.000049,0.000000
12.878,disabled,-0.000247,-0.103359,-0.012711,40.000,0.000,-0.000049,0.000000
13.379,disabled,-0.000247,0.070084,-0.012711,40.000,0.000,-0.000049,0.000000
13.902,disabled,-0.000148,-0.109286,-0.012711,40.000,0.000,-0.000049,0.000000
14.403,disabled,-0.000099,-0.195478,-0.012711,40.000,0.000,-0.000049,0.000000
14.928,disabled,0.000000,0.084838,-0.012711,40.000,0.000,-0.000049,0.000000
15.452,disabled,-0.000247,0.104167,-0.012711,40.000,0.000,-0.000049,0.000000
15.977,disabled,-0.000148,-0.058694,-0.012711,40.000,0.000,-0.000049,0.000000
16.478,disabled,-0.000247,0.018873,-0.012711,40.000,0.000,-0.000049,0.000000
16.978,disabled,-0.000198,0.033521,-0.012711,40.000,0.000,-0.000049,0.000000
17.502,disabled,-0.000198,-0.028173,-0.012711,40.000,0.000,-0.000049,0.000000
18.029,disabled,-0.000297,-0.011510,-0.012711,40.000,0.000,-0.000049,0.000000
18.552,disabled,-0.000247,-0.127175,-0.012711,40.000,0.000,-0.000049,0.000000
19.053,disabled,-0.000198,0.111906,-0.012711,40.000,0.000,-0.000049,0.000000
19.577,disabled,-0.000247,0.054618,-0.012711,40.000,0.000,-0.000049,0.000000
20.080,disabled,-0.000198,0.021220,-0.012711,40.000,0.000,-0.000049,0.000000
20.604,disabled,-0.000148,-0.029634,-0.012711,40.000,0.000,-0.000049,0.000000
21.130,disabled,-0.000099,0.005558,-0.012711,40.000,0.000,-0.000049,0.000000
21.630,disabled,-0.000198,-0.029372,-0.012711,40.000,0.000,-0.000049,0.000000
22.154,disabled,-0.000148,0.104303,-0.012711,40.000,0.000,-0.000049,0.000000
22.680,disabled,-0.000198,0.057387,-0.012711,40.000,0.000,-0.000049,0.000000
23.204,disabled,-0.000198,0.032874,-0.012711,40.000,0.000,-0.000049,0.000000
23.704,disabled,-0.000198,0.043121,-0.012711,40.000,0.000,-0.000049,0.000000
24.230,disabled,-0.000247,-0.068492,-0.012711,40.000,0.000,-0.000049,0.000000
24.754,disabled,-0.000049,-0.078359,-0.012711,40.000,0.000,-0.000049,0.000000
25.279,disabled,-0.000099,-0.005319,-0.012711,40.000,0.000,-0.000049,0.000000
25.780,disabled,-0.000198,-0.173780,-0.012711,40.000,0.000,-0.000049,0.000000
26.304,disabled,0.000049,-0.054861,-0.012711,40.000,0.000,-0.000049,0.000000
26.829,disabled,-0.000049,0.035255,-0.012711,40.000,0.000,-0.000049,0.000000
27.329,disabled,-0.000247,-0.032202,-0.012711,40.000,0.000,-0.000049,0.000000
27.830,disabled,-0.000148,-0.096195,-0.012711,40.000,0.000,-0.000049,0.000000
28.354,disabled,-0.000099,0.241856,-0.012711,40.000,0.000,-0.000049,0.000000
28.881,disabled,-0.000099,0.058513,-0.012711,40.000,0.000,-0.000049,0.000000
29.404,disabled,-0.000148,-0.002241,-0.012711,40.000,0.000,-0.000049,0.000000
29.904,disabled,-0.000198,-0.014934,-0.012711,40.000,0.000,-0.000049,0.000000
30.429,disabled,-0.000247,-0.041052,-0.012711,40.000,0.000,-0.000049,0.000000
30.954,disabled,-0.000198,-0.017786,-0.012711,40.000,0.000,-0.000049,0.000000
31.454,disabled,-0.000247,-0.002011,-0.012711,40.000,0.000,-0.000049,0.000000
31.954,disabled,-0.000198,-0.016517,-0.012711,40.000,0.000,-0.000049,0.000000
32.454,disabled,0.000000,-0.026203,-0.012711,40.000,0.000,-0.000049,0.000000
32.954,disabled,-0.000198,0.067966,-0.012711,40.000,0.000,-0.000049,0.000000
33.479,disabled,-0.000198,-0.095598,-0.012711,40.000,0.000,-0.000049,0.000000
33.979,disabled,-0.000297,0.099219,-0.012711,40.000,0.000,-0.000049,0.000000
34.504,disabled,-0.000247,-0.096381,-0.012711,40.000,0.000,-0.000049,0.000000
35.004,disabled,-0.000148,0.046470,-0.012711,40.000,0.000,-0.000049,0.000000
35.529,disabled,-0.000198,0.135815,-0.012711,40.000,0.000,-0.000049,0.000000
36.030,disabled,-0.000099,-0.002715,-0.012711,40.000,0.000,-0.000049,0.000000
36.554,disabled,-0.000099,0.124741,-0.012711,40.000,0.000,-0.000049,0.000000
37.054,disabled,-0.000198,-0.156500,-0.012711,40.000,0.000,-0.000049,0.000000
37.579,disabled,-0.000148,-0.028031,-0.012711,40.000,0.000,-0.000049,0.000000
38.104,disabled,-0.000148,-0.053570,-0.012711,40.000,0.000,-0.000049,0.000000
38.629,disabled,0.000049,0.009479,-0.012711,40.000,0.000,-0.000049,0.000000
39.129,disabled,-0.000148,0.025608,-0.012711,40.000,0.000,-0.000049,0.000000
39.654,disabled,-0.000148,-0.006616,-0.012711,40.000,0.000,-0.000049,0.000000
40.154,disabled,-0.000099,0.039210,-0.012711,40.000,0.000,-0.000049,0.000000
40.654,disabled,-0.000198,-0.030924,-0.012711,40.000,0.000,-0.000049,0.000000
41.178,disabled,-0.000148,-0.118801,-0.012711,40.000,0.000,-0.000049,0.000000
41.679,disabled,-0.000247,0.021453,-0.012711,40.000,0.000,-0.000049,0.000000
42.180,disabled,-0.000099,0.003197,-0.012711,40.000,0.000,-0.000049,0.000000
42.704,disabled,-0.000247,-0.116214,-0.012711,40.000,0.000,-0.000049,0.000000
43.229,disabled,-0.000049,-0.044141,-0.012711,40.000,0.000,-0.000049,0.000000
43.730,disabled,-0.000099,0.022372,-0.012711,40.000,0.000,-0.000049,0.000000
44.254,disabled,-0.000247,-0.002251,-0.012711,40.000,0.000,-0.000049,0.000000
44.779,disabled,-0.000099,-0.060937,-0.012711,40.000,0.000,-0.000049,0.000000
45.280,disabled,-0.000099,0.085699,-0.012711,40.000,0.000,-0.000049,0.000000
45.796,disabled,-0.000198,0.059523,-0.012711,40.000,0.000,-0.000049,0.000000
46.297,disabled,-0.000148,0.067862,-0.012711,40.000,0.000,-0.000049,0.000000
46.821,disabled,-0.000247,-0.022855,-0.012711,40.000,0.000,-0.000049,0.000000
47.321,disabled,-0.000148,-0.090587,-0.012711,40.000,0.000,-0.000049,0.000000
47.846,disabled,-0.000297,0.115483,-0.012711,40.000,0.000,-0.000049,0.000000
48.371,disabled,-0.000099,0.047716,-0.012711,40.000,0.000,-0.000049,0.000000
48.895,disabled,-0.000247,0.035164,-0.012711,40.000,0.000,-0.000049,0.000000
49.421,disabled,-0.000049,-0.042800,-0.012711,40.000,0.000,-0.000049,0.000000
49.945,disabled,-0.000198,0.005658,-0.012711,40.000,0.000,-0.000049,0.000000
50.445,disabled,0.000099,0.000688,-0.012711,40.000,0.000,-0.000049,0.000000
50.946,disabled,-0.000148,0.128056,-0.012711,40.000,0.000,-0.000049,0.000000
51.470,disabled,-0.000247,0.057532,-0.012711,40.000,0.000,-0.000049,0.000000
51.995,disabled,-0.000099,0.142338,-0.012711,40.000,0.000,-0.000049,0.000000
52.520,disabled,-0.000099,-0.096173,-0.012711,40.000,0.000,-0.000049,0.000000
53.020,disabled,-0.000247,-0.045472,-0.012711,40.000,0.000,-0.000049,0.000000
53.545,disabled,-0.000099,0.093321,-0.012711,40.000,0.000,-0.000049,0.000000
54.071,disabled,-0.000148,0.008522,-0.012711,40.000,0.000,-0.000049,0.000000
54.595,disabled,-0.000198,-0.045993,-0.012711,40.000,0.000,-0.000049,0.000000
55.120,disabled,-0.000198,-0.067422,-0.012711,40.000,0.000,-0.000049,0.000000
55.620,disabled,-0.000099,0.121618,-0.012711,40.000,0.000,-0.000049,0.000000
56.145,disabled,-0.000148,-0.059638,-0.012711,40.000,0.000,-0.000049,0.000000
56.670,disabled,-0.000297,0.042831,-0.012711,40.000,0.000,-0.000049,0.000000
57.170,disabled,-0.000247,0.065733,-0.012711,40.000,0.000,-0.000049,0.000000
57.670,disabled,0.000049,0.045861,-0.012711,40.000,0.000,-0.000049,0.000000
58.170,disabled,-0.000297,-0.065846,-0.012711,40.000,0.000,-0.000049,0.000000
58.670,disabled,-0.000198,0.006262,-0.012711,40.000,0.000,-0.000049,0.000000
59.195,disabled,-0.000148,0.014763,-0.012711,40.000,0.000,-0.000049,0.000000
59.720,disabled,-0.000247,0.110436,-0.012711,40.000,0.000,-0.000049,0.000000
60.245,disabled,-0.000297,0.008961,-0.012711,40.000,0.000,-0.000049,0.000000
60.745,disabled,0.000000,0.181552,-0.012711,40.000,0.000,-0.000049,0.000000
61.245,disabled,-0.000247,-0.096249,-0.012711,40.000,0.000,-0.000049,0.000000
61.746,disabled,-0.000148,-0.048312,-0.012711,40.000,0.000,-0.000049,0.000000
62.270,disabled,-0.000247,0.016703,-0.012711,40.000,0.000,-0.000049,0.000000
62.771,disabled,-0.000198,-0.060842,-0.012711,40.000,0.000,-0.000049,0.000000
63.295,disabled,-0.000148,0.094103,-0.012711,40.000,0.000,-0.000049,0.000000
63.796,disabled,-0.000247,-0.101978,-0.012711,40.000,0.000,-0.000049,0.000000
64.320,disabled,-0.000148,0.015507,-0.012711,40.000,0.000,-0.000049,0.000000
64.846,disabled,0.000000,0.019254,-0.012711,40.000,0.000,-0.000049,0.000000
65.370,disabled,-0.000247,-0.014782,-0.012711,40.000,0.000,-0.000049,0.000000
65.870,disabled,-0.000148,-0.072115,-0.012711,40.000,0.000,-0.000049,0.000000
66.395,disabled,-0.000099,0.077835,-0.012711,40.000,0.000,-0.000049,0.000000
66.895,disabled,-0.000049,0.020621,-0.012711,40.000,0.000,-0.000049,0.000000
67.396,disabled,-0.000198,0.083998,-0.012711,40.000,0.000,-0.000049,0.000000
67.920,disabled,-0.000198,-0.164579,-0.012711,40.000,0.000,-0.000049,0.000000
68.445,disabled,-0.000247,0.060766,-0.012711,40.000,0.000,-0.000049,0.000000
68.945,disabled,-0.000049,-0.060537,-0.012711,40.000,0.000,-0.000049,0.000000
69.446,disabled,-0.000198,0.018311,-0.012711,40.000,0.000,-0.000049,0.000000
69.970,disabled,-0.000198,0.011519,-0.012711,40.000,0.000,-0.000049,0.000000
70.495,disabled,-0.000049,0.015253,-0.012711,40.000,0.000,-0.000049,0.000000
71.020,disabled,-0.000198,0.004450,-0.012711,40.000,0.000,-0.000049,0.000000
71.520,disabled,0.000049,0.026297,-0.012711,40.000,0.000,-0.000049,0.000000
72.045,disabled,0.000000,-0.057551,-0.012711,40.000,0.000,-0.000049,0.000000
72.570,disabled,-0.000099,0.065832,-0.012711,40.000,0.000,-0.000049,0.000000
73.071,disabled,-0.000198,0.037371,-0.012711,40.000,0.000,-0.000049,0.000000
73.595,disabled,-0.000148,-0.129276,-0.012711,40.000,0.000,-0.000049,0.000000
74.120,disabled,0.000000,0.024475,-0.012711,40.000,0.000,-0.000049,0.000000
74.621,disabled,-0.000198,0.147129,-0.012711,40.000,0.000,-0.000049,0.000000
75.121,disabled,-0.000148,-0.062892,-0.012711,40.000,0.000,-0.000049,0.000000
75.645,disabled,-0.000247,0.098073,-0.012711,40.000,0.000,-0.000049,0.000000
76.170,disabled,-0.000099,0.085211,-0.012711,40.000,0.000,-0.000049,0.000000
76.695,disabled,-0.000148,-0.156762,-0.012711,40.000,0.000,-0.000049,0.000000
77.196,disabled,-0.000148,-0.058741,-0.012711,40.000,0.000,-0.000049,0.000000
77.720,disabled,-0.000198,-0.034609,-0.012711,40.000,0.000,-0.000049,0.000000
78.246,disabled,0.000000,-0.037867,-0.012711,40.000,0.000,-0.000049,0.000000
78.770,disabled,-0.000198,-0.015556,-0.012711,40.000,0.000,-0.000049,0.000000
79.270,disabled,-0.000198,0.003783,-0.012711,40.000,0.000,-0.000049,0.000000
79.770,disabled,-0.000198,0.039669,-0.012711,40.000,0.000,-0.000049,0.000000
80.296,disabled,-0.000247,-0.042390,-0.012711,40.000,0.000,-0.000049,0.000000
80.821,disabled,-0.000148,0.008868,-0.012711,40.000,0.000,-0.000049,0.000000
81.321,disabled,0.000000,-0.051228,-0.012711,40.000,0.000,-0.000049,0.000000
81.822,disabled,-0.000198,-0.097500,-0.012711,40.000,0.000,-0.000049,0.000000
82.345,disabled,-0.000198,0.103453,-0.012711,40.000,0.000,-0.000049,0.000000
82.845,disabled,-0.000148,0.106953,-0.012711,40.000,0.000,-0.000049,0.000000
83.370,disabled,-0.000148,-0.014444,-0.012711,40.000,0.000,-0.000049,0.000000
83.895,disabled,-0.000346,-0.063517,-0.012711,40.000,0.000,-0.000049,0.000000
84.395,disabled,-0.000297,0.037656,-0.012711,40.000,0.000,-0.000049,0.000000
84.920,disabled,-0.000148,0.023021,-0.012711,40.000,0.000,-0.000049,0.000000
85.445,disabled,-0.000198,0.050334,-0.012711,40.000,0.000,-0.000049,0.000000
85.945,disabled,-0.000297,0.111391,-0.012711,40.000,0.000,-0.000049,0.000000
86.445,disabled,-0.000148,-0.110563,-0.012711,40.000,0.000,-0.000049,0.000000
86.970,disabled,-0.000247,0.120105,-0.012711,40.000,0.000,-0.000049,0.000000
87.470,disabled,-0.000148,0.082220,-0.012711,40.000,0.000,-0.000049,0.000000
87.970,disabled,-0.000247,0.044644,-0.012711,40.000,0.000,-0.000049,0.000000
88.472,disabled,-0.000148,0.037676,-0.012711,40.000,0.000,-0.000049,0.000000
88.995,disabled,-0.000049,0.104935,-0.012711,40.000,0.000,-0.000049,0.000000
89.495,disabled,-0.000099,-0.062526,-0.012711,40.000,0.000,-0.000049,0.000000
