t_s,dir,rate,kp,cmd,fb,lead,d_fb,block,tx,ack
0.0018,0,0.000,0,-0.0581,-0.0581,0.0000,0.0000,none,192,189
0.0291,0,0.000,0,-0.0581,-0.0581,0.0000,0.0000,none,193,189
0.0571,0,0.000,0,-0.0581,-0.0581,0.0000,0.0000,none,194,189
0.0856,0,0.000,0,-0.0581,-0.0581,0.0000,0.0000,none,195,189
0.1137,0,0.000,0,-0.0581,-0.0581,0.0000,0.0000,none,196,189
0.1410,0,0.000,0,-0.0581,-0.0581,0.0000,0.0000,none,197,189
0.1692,0,0.000,0,-0.0581,-0.0581,0.0000,0.0000,none,198,189
0.1972,0,0.000,0,-0.0581,-0.0581,0.0000,0.0000,none,199,189
0.2252,0,0.000,0,-0.0581,-0.0581,0.0000,0.0000,none,200,189
0.2536,0,0.000,0,-0.0581,-0.0581,0.0000,0.0000,none,201,189
0.2816,0,0.000,0,-0.0581,-0.0581,0.0000,0.0000,none,202,189
0.3100,0,0.000,0,-0.0581,-0.0313,-0.0269,0.0269,none,203,202
0.3376,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,204,202
0.3662,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,205,202
0.3934,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,206,202
0.4201,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,207,202
0.4479,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,208,202
0.4765,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,209,202
0.5043,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,210,202
0.5323,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,211,202
0.5601,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,212,202
0.5874,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,213,202
0.6143,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,214,202
0.6415,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,215,202
0.6699,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,216,215
0.6976,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,217,215
0.7252,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,218,215
0.7533,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,219,215
0.7810,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,220,215
0.8082,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,221,215
0.8358,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,222,215
0.8632,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,223,215
0.8911,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,224,215
0.9198,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,225,215
0.9472,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,226,215
0.9746,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,227,215
1.0023,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,228,215
1.0302,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,229,228
1.0575,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,230,228
1.0854,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,231,228
1.1129,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,232,228
1.1408,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,233,228
1.1681,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,234,228
1.1952,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,235,228
1.2223,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,236,228
1.2494,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,237,228
1.2769,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,238,228
1.3043,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,239,228
1.3312,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,240,228
1.3579,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,241,228
1.3860,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,242,228
1.4133,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,243,228
1.4406,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,244,228
1.4673,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,245,228
1.4948,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,246,245
1.5228,0,0.000,0,-0.0313,-0.0313,0.0000,0.0000,none,247,245
